cuid,pooledcuid,regionname,regionid,smuid,smu,culabel
512,512,Central Coast,3,4,Central Coast Chinook Salmon,Bella Coola-Bentinck
513,513,Central Coast,3,4,Central Coast Chinook Salmon,Dean River
509,509,Central Coast,3,4,Central Coast Chinook Salmon,Docee
515,515,Central Coast,3,4,Central Coast Chinook Salmon,North & Central Coast-Early
514,514,Central Coast,3,4,Central Coast Chinook Salmon,North & Central Coast-Late
401,401,Nass,2,4,Central Coast Chinook Salmon,Portland Sound-Observatory Inlet-Lower Nass
510,510,Central Coast,3,4,Central Coast Chinook Salmon,Rivers Inlet
224,224,Skeena,1,4,Central Coast Chinook Salmon,Skeena Estuary
511,511,Central Coast,3,4,Central Coast Chinook Salmon,Wannock
504,504,Central Coast,3,5,Central Coast Chum Salmon,Bella Coola-Dean Rivers
505,505,Central Coast,3,5,Central Coast Chum Salmon,Bella Coola River-Late
508,508,Central Coast,3,5,Central Coast Chum Salmon,Douglas-Gardner
506,506,Central Coast,3,5,Central Coast Chum Salmon,Hecate Lowlands
507,507,Central Coast,3,5,Central Coast Chum Salmon,Mussel-Kynoch
501,501,Central Coast,3,5,Central Coast Chum Salmon,Rivers Inlet
500,500,Central Coast,3,5,Central Coast Chum Salmon,Smith Inlet
503,503,Central Coast,3,5,Central Coast Chum Salmon,Spiller-Fitz-Hugh-Burke
502,502,Central Coast,3,5,Central Coast Chum Salmon,Wannock
518,518,Central Coast,3,6,Central Coast Coho Salmon,Bella Coola-Dean Rivers
521,521,Central Coast,3,6,Central Coast Coho Salmon,Brim-Wahoo
522,522,Central Coast,3,6,Central Coast Coho Salmon,Douglas Channel-Kitimat Arm
520,520,Not applicable,989898,6,Central Coast Coho Salmon,Hecate Strait Mainland
520,520,Central Coast,3,6,Central Coast Coho Salmon,Hecate Strait Mainland
519,519,Central Coast,3,6,Central Coast Coho Salmon,Mussel-Kynoch
523,523,Central Coast,3,6,Central Coast Coho Salmon,Northern Coastal Streams
517,517,Central Coast,3,6,Central Coast Coho Salmon,Rivers Inlet
516,516,Central Coast,3,6,Central Coast Coho Salmon,Smith Inlet
608,608,Central Coast,3,8,Central Coast Pink Salmon,Hecate Lowlands (even)
609,609,Central Coast,3,8,Central Coast Pink Salmon,Hecate Strait-Fjords (even)
612,612,Central Coast,3,8,Central Coast Pink Salmon,Hecate Strait-Fjords (odd)
611,611,Central Coast,3,8,Central Coast Pink Salmon,Hecate Strait-Lowlands (odd)
610,610,Central Coast,3,8,Central Coast Pink Salmon,Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean (odd)
613,613,Central Coast,3,8,Central Coast Sockeye Salmon ,Rivers-Smith Inlets (river-type)
529,529,Central Coast,3,7,Central Coast Sockeye Salmon ,Backland
540,540,Central Coast,3,7,Central Coast Sockeye Salmon ,Banks
541,541,Central Coast,3,7,Central Coast Sockeye Salmon ,Bloomfield
542,542,Central Coast,3,7,Central Coast Sockeye Salmon ,Bolton Creek
543,543,Central Coast,3,7,Central Coast Sockeye Salmon ,Bonilla
544,544,Central Coast,3,7,Central Coast Sockeye Salmon ,Borrowman Creek
545,545,Central Coast,3,7,Central Coast Sockeye Salmon ,Busey Creek
532,532,Central Coast,3,7,Central Coast Sockeye Salmon ,Canoona
546,546,Central Coast,3,7,Central Coast Sockeye Salmon ,Cartwright Creek
547,547,Central Coast,3,7,Central Coast Sockeye Salmon ,Chic Chic
548,548,Central Coast,3,7,Central Coast Sockeye Salmon ,Citeyats
550,550,Central Coast,3,7,Central Coast Sockeye Salmon ,Curtis Inlet
551,551,Central Coast,3,7,Central Coast Sockeye Salmon ,Dallain Creek
552,552,Central Coast,3,7,Central Coast Sockeye Salmon ,Deer
553,553,Central Coast,3,7,Central Coast Sockeye Salmon ,Devon
533,533,Central Coast,3,7,Central Coast Sockeye Salmon ,Dome
554,554,Central Coast,3,7,Central Coast Sockeye Salmon ,Douglas Creek
555,555,Central Coast,3,7,Central Coast Sockeye Salmon ,Elizabeth
556,556,Central Coast,3,7,Central Coast Sockeye Salmon ,Elsie/Hoy
557,557,Central Coast,3,7,Central Coast Sockeye Salmon ,End Hill Creek
534,534,Central Coast,3,7,Central Coast Sockeye Salmon ,Evelyn
558,558,Central Coast,3,7,Central Coast Sockeye Salmon ,Evinrude Inlet
549,549,Central Coast,3,7,Central Coast Sockeye Salmon ,Fannie Cove
559,559,Central Coast,3,7,Central Coast Sockeye Salmon ,Freeda
560,560,Central Coast,3,7,Central Coast Sockeye Salmon ,Hartley Bay
561,561,Central Coast,3,7,Central Coast Sockeye Salmon ,Hevenor Inlet
562,562,Central Coast,3,7,Central Coast Sockeye Salmon ,Higgins Lagoon
563,563,Central Coast,3,7,Central Coast Sockeye Salmon ,Kadjusdis River
535,535,Central Coast,3,7,Central Coast Sockeye Salmon ,Kainet Creek
564,564,Central Coast,3,7,Central Coast Sockeye Salmon ,Kdelmashan Creek
565,565,Central Coast,3,7,Central Coast Sockeye Salmon ,Keecha
566,566,Central Coast,3,7,Central Coast Sockeye Salmon ,Kent Inlet Lagoon Creek
567,567,Central Coast,3,7,Central Coast Sockeye Salmon ,Kenzuwash Creeks
568,568,Central Coast,3,7,Central Coast Sockeye Salmon ,Keswar Creek
569,569,Central Coast,3,7,Central Coast Sockeye Salmon ,Kildidt Creek
570,570,Central Coast,3,7,Central Coast Sockeye Salmon ,Kildidt Lagoon Creek
536,536,Central Coast,3,7,Central Coast Sockeye Salmon ,Kimsquit
571,571,Central Coast,3,7,Central Coast Sockeye Salmon ,Kisameet
537,537,Central Coast,3,7,Central Coast Sockeye Salmon ,Kitkiata
538,538,Central Coast,3,7,Central Coast Sockeye Salmon ,Kitlope
572,572,Central Coast,3,7,Central Coast Sockeye Salmon ,Koeye
573,573,Central Coast,3,7,Central Coast Sockeye Salmon ,Kooryet
574,574,Central Coast,3,7,Central Coast Sockeye Salmon ,Kunsoot River
575,575,Central Coast,3,7,Central Coast Sockeye Salmon ,Kwakwa Creek
576,576,Central Coast,3,7,Central Coast Sockeye Salmon ,Lewis Creek
577,577,Central Coast,3,7,Central Coast Sockeye Salmon ,Limestone Creek
578,578,Central Coast,3,7,Central Coast Sockeye Salmon ,Lowe/Simpson/Weir
579,579,Central Coast,3,7,Central Coast Sockeye Salmon ,Mary Cove Creek
580,580,Central Coast,3,7,Central Coast Sockeye Salmon ,Mcdonald Creek
581,581,Central Coast,3,7,Central Coast Sockeye Salmon ,Mcloughlin
582,582,Central Coast,3,7,Central Coast Sockeye Salmon ,Mikado
583,583,Central Coast,3,7,Central Coast Sockeye Salmon ,Monckton Inlet Creek
584,584,Central Coast,3,7,Central Coast Sockeye Salmon ,Namu
615,615,Central Coast,3,7,Central Coast Sockeye Salmon ,Northern Coastal Streams (river-type)
614,614,Central Coast,3,7,Central Coast Sockeye Salmon ,Northern Coastal Fjords (river-type)
539,539,Central Coast,3,7,Central Coast Sockeye Salmon ,Pine River
585,585,Central Coast,3,7,Central Coast Sockeye Salmon ,Port John
586,586,Central Coast,3,7,Central Coast Sockeye Salmon ,Powles Creek
587,587,Central Coast,3,7,Central Coast Sockeye Salmon ,Price Creek
588,588,Central Coast,3,7,Central Coast Sockeye Salmon ,Roderick
589,589,Central Coast,3,7,Central Coast Sockeye Salmon ,Ryan Creek
590,590,Central Coast,3,7,Central Coast Sockeye Salmon ,Salter
591,591,Central Coast,3,7,Central Coast Sockeye Salmon ,Scoular/Kilpatrick
592,592,Central Coast,3,7,Central Coast Sockeye Salmon ,Sheneeza Inlet
593,593,Central Coast,3,7,Central Coast Sockeye Salmon ,Ship Point Creek
530,530,Central Coast,3,7,Central Coast Sockeye Salmon ,Soda Creek
594,594,Central Coast,3,7,Central Coast Sockeye Salmon ,Spencer Creek
595,595,Central Coast,3,7,Central Coast Sockeye Salmon ,Stannard Creek
596,596,Central Coast,3,7,Central Coast Sockeye Salmon ,Talamoosa Creek
597,597,Central Coast,3,7,Central Coast Sockeye Salmon ,Tankeeah River
598,598,Central Coast,3,7,Central Coast Sockeye Salmon ,Treneman Creek
599,599,Central Coast,3,7,Central Coast Sockeye Salmon ,Tsimtack/Moore/Roger
600,600,Central Coast,3,7,Central Coast Sockeye Salmon ,Tuno Creek East
601,601,Central Coast,3,7,Central Coast Sockeye Salmon ,Tuno Creek West
602,602,Central Coast,3,7,Central Coast Sockeye Salmon ,Tyler Creek
603,603,Central Coast,3,7,Central Coast Sockeye Salmon ,Wale Creek
604,604,Central Coast,3,7,Central Coast Sockeye Salmon ,Watt Bay
605,605,Central Coast,3,7,Central Coast Sockeye Salmon ,West Creek
606,606,Central Coast,3,7,Central Coast Sockeye Salmon ,Yaaklele Lagoon
607,607,Central Coast,3,7,Central Coast Sockeye Salmon ,Yeo
921,921,Vancouver Island & Mainland Inlets,5,9,ECVI/Mainland Pink Salmon,East Howe Sound-Burrard Inlet (odd)
923,923,Vancouver Island & Mainland Inlets,5,9,ECVI/Mainland Pink Salmon,East Vancouver Island-Johnstone Strait (odd)
922,922,Vancouver Island & Mainland Inlets,5,9,ECVI/Mainland Pink Salmon,Georgia Strait (odd)
917,917,Vancouver Island & Mainland Inlets,5,9,ECVI/Mainland Pink Salmon,Georgia Strait (even)
924,924,Vancouver Island & Mainland Inlets,5,9,ECVI/Mainland Pink Salmon,Nahwitti (odd)
926,926,Vancouver Island & Mainland Inlets,5,9,ECVI/Mainland Pink Salmon,Southern Fjords (odd)
920,920,Vancouver Island & Mainland Inlets,5,9,ECVI/Mainland Pink Salmon,Southern Fjords (even)
927,927,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Fulmore
928,928,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Heydon
937,937,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Ida-Bonanza
929,929,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Kakweiken
930,930,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Loose
931,931,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Mackenzie
938,938,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Nahwitti
939,939,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Nimpkish
932,932,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Phillips
941,941,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Quatse
933,933,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Sakinaw
942,942,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Schoen
943,943,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Shushartie
935,935,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Tzoonie
976,976,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Vernon
936,936,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Village Bay
944,944,Vancouver Island & Mainland Inlets,5,11,ECVI/Mainland Sockeye Salmon ,Woss
701,701,Fraser,4,12,Fraser Chum Salmon,Lower Fraser
303,303,Fraser,4,13,Fraser Fall Run 4~2~ Chinook Salmon,Lower Fraser River (Fall 4-1)
710,710,Fraser,4,14,Fraser Pink Salmon - Odd,Fraser River (odd)
719,719,Fraser,4,15,Fraser Sockeye Salmon - Early Summer,Anderson-Seton-Early Summer
735,735,Fraser,4,15,Fraser Sockeye Salmon - Early Summer,Bowron-Early Summer
720,720,Fraser,4,15,Fraser Sockeye Salmon - Early Summer,Chilko-Early Summer
711,711,Fraser,4,15,Fraser Sockeye Salmon - Early Summer,Chilliwack-Early Summer (cyclic)
740,740,Fraser,4,15,Fraser Sockeye Salmon - Early Summer,Kamloops-Early Summer
727,727,Fraser,4,15,Fraser Sockeye Salmon - Early Summer,Nadina-Francois-Early Summer
718,718,Fraser,4,15,Fraser Sockeye Salmon - Early Summer,Nahatlatch-Early Summer
752,752,Fraser,4,15,Fraser Sockeye Salmon - Early Summer,North Barriere-Early Summer (de novo)
715,715,Fraser,4,15,Fraser Sockeye Salmon - Early Summer,Pitt-Early Summer
738,738,Fraser,4,15,Fraser Sockeye Salmon - Early Summer,Shuswap-Early Summer (cyclic)
734,734,Fraser,4,15,Fraser Sockeye Salmon - Early Summer,Taseko-Early Summer
712,712,Fraser,4,16,Fraser Sockeye Salmon - Late,Cultus-Late
713,713,Fraser,4,16,Fraser Sockeye Salmon - Late,Harrison-Downstream Migrating-Late
714,714,Fraser,4,16,Fraser Sockeye Salmon - Late,Harrison-Upstream Migrating-Late
716,716,Fraser,4,16,Fraser Sockeye Salmon - Late,Lillooet-Harrison-Late
729,729,Fraser,4,16,Fraser Sockeye Salmon - Late,Seton-Late (de novo)
739,739,Fraser,4,16,Fraser Sockeye Salmon - Late,Shuswap-Late (cyclic)
721,721,Fraser,4,17,Fraser Sockeye Salmon - Summer,Chilko-Summer
725,725,Fraser,4,17,Fraser Sockeye Salmon - Summer,Francois-Fraser-Summer
745,745,Fraser,4,17,Fraser Sockeye Salmon - Summer,Harrison River (river-type)
728,728,Fraser,4,17,Fraser Sockeye Salmon - Summer,Quesnel-Summer (cyclic)
731,731,Fraser,4,17,Fraser Sockeye Salmon - Summer,Takla-Trembleur-Stuart-Summer (cyclic)
742,742,Fraser,4,17,Fraser Sockeye Salmon - Summer,Widgeon (river-type)
732,732,Fraser,4,18,Fraser Sockeye Salmon -Early Stuart,Takla-Trembleur-Early Stuart (cyclic)
316,316,Fraser,4,19,Fraser Spring Run 4-2 Chinook Salmon,South Thompson River-Bessette Creek (Summer 4-2)
317,317,Fraser,4,19,Fraser Spring Run 4-2 Chinook Salmon,Lower Thompson River (Spring 4-2)
304,304,Fraser,4,20,Fraser Spring Run 5-2 Chinook Salmon,Lower Fraser River (Spring 5-2)
305,305,Fraser,4,20,Fraser Spring Run 5-2 Chinook Salmon,Lower Fraser River-Upper Pitt (Summer 5-2)
308,308,Fraser,4,20,Fraser Spring Run 5-2 Chinook Salmon,Fraser Canyon-Nahatlatch (Spring 5-2)
310,310,Fraser,4,20,Fraser Spring Run 5-2 Chinook Salmon,Middle Fraser River (Spring 5-2)
312,312,Fraser,4,20,Fraser Spring Run 5-2 Chinook Salmon,Upper Fraser River (Spring 5-2)
318,318,Fraser,4,20,Fraser Spring Run 5-2 Chinook Salmon,North Thompson River (Spring 5-2)
307,307,Fraser,4,21,Fraser Summer Run 4-1 Chinook Salmon,Lower Fraser River-Maria Slough (Summer 4-1)
313,313,Fraser,4,21,Fraser Summer Run 4-1 Chinook Salmon,South Thompson River (Summer 4-1)
315,315,Fraser,4,21,Fraser Summer Run 4-1 Chinook Salmon,Shuswap River (Summer 4-1)
333,333,Fraser,4,21,Fraser Summer Run 4-1 Chinook Salmon,South Thompson-Adams River Upper
306,306,Fraser,4,22,Fraser Summer Run 5-2 Chinook Salmon,Lower Fraser River (Summer 5-2)
309,309,Fraser,4,22,Fraser Summer Run 5-2 Chinook Salmon,Middle Fraser River-Portage (Fall 5-2)
311,311,Fraser,4,22,Fraser Summer Run 5-2 Chinook Salmon,Middle Fraser River (Summer 5-2)
