,CUID,Species,Year,LGL counts,NuSEDS counts by CU,Total run
1540,173,Lake Sockeye,1974,NA,NA,NA
1603,173,Lake Sockeye,1975,NA,NA,NA
1666,173,Lake Sockeye,1976,NA,NA,NA
1729,173,Lake Sockeye,1977,NA,NA,NA
1792,173,Lake Sockeye,1978,NA,NA,NA
1855,173,Lake Sockeye,1979,NA,NA,NA
1918,173,Lake Sockeye,1980,NA,NA,NA
1981,173,Lake Sockeye,1981,NA,NA,NA
2044,173,Lake Sockeye,1982,NA,NA,NA
2107,173,Lake Sockeye,1983,NA,NA,NA
2170,173,Lake Sockeye,1984,NA,NA,NA
2233,173,Lake Sockeye,1985,NA,NA,NA
2296,173,Lake Sockeye,1986,NA,NA,NA
2359,173,Lake Sockeye,1987,NA,NA,NA
2422,173,Lake Sockeye,1988,NA,NA,NA
2485,173,Lake Sockeye,1989,NA,NA,NA
2548,173,Lake Sockeye,1990,NA,NA,NA
2611,173,Lake Sockeye,1991,NA,NA,NA
2674,173,Lake Sockeye,1992,NA,NA,NA
2737,173,Lake Sockeye,1993,NA,NA,NA
2800,173,Lake Sockeye,1994,NA,NA,NA
2863,173,Lake Sockeye,1995,NA,NA,NA
2926,173,Lake Sockeye,1996,NA,NA,NA
2989,173,Lake Sockeye,1997,NA,NA,NA
3052,173,Lake Sockeye,1998,NA,NA,NA
3115,173,Lake Sockeye,1999,NA,NA,NA
3178,173,Lake Sockeye,2000,NA,NA,NA
3241,173,Lake Sockeye,2001,NA,NA,NA
3304,173,Lake Sockeye,2002,NA,NA,NA
3367,173,Lake Sockeye,2003,NA,NA,NA
3430,173,Lake Sockeye,2004,NA,NA,NA
3493,173,Lake Sockeye,2005,NA,NA,NA
3556,173,Lake Sockeye,2006,NA,NA,NA
3619,173,Lake Sockeye,2007,NA,NA,NA
3682,173,Lake Sockeye,2008,NA,NA,NA
3745,173,Lake Sockeye,2009,NA,NA,NA
3808,173,Lake Sockeye,2010,NA,NA,NA
3871,173,Lake Sockeye,2011,NA,NA,NA
3934,173,Lake Sockeye,2012,NA,NA,NA
3997,173,Lake Sockeye,2013,NA,NA,NA
4060,173,Lake Sockeye,2014,NA,NA,NA
4123,173,Lake Sockeye,2015,NA,NA,NA
4186,173,Lake Sockeye,2016,NA,NA,NA
4249,173,Lake Sockeye,2017,NA,NA,NA
4312,173,Lake Sockeye,2018,NA,NA,NA
4375,173,Lake Sockeye,2019,NA,NA,NA
34,174,Lake Sockeye,1950,NA,NA,NA
97,174,Lake Sockeye,1951,NA,NA,NA
160,174,Lake Sockeye,1952,NA,NA,NA
223,174,Lake Sockeye,1953,NA,NA,NA
286,174,Lake Sockeye,1954,NA,NA,NA
349,174,Lake Sockeye,1955,NA,NA,NA
412,174,Lake Sockeye,1956,NA,NA,NA
475,174,Lake Sockeye,1957,NA,NA,NA
538,174,Lake Sockeye,1958,NA,NA,NA
601,174,Lake Sockeye,1959,NA,NA,NA
664,174,Lake Sockeye,1960,NA,NA,NA
727,174,Lake Sockeye,1961,NA,NA,NA
790,174,Lake Sockeye,1962,NA,NA,NA
853,174,Lake Sockeye,1963,NA,NA,NA
916,174,Lake Sockeye,1964,NA,NA,NA
979,174,Lake Sockeye,1965,NA,NA,NA
1042,174,Lake Sockeye,1966,NA,NA,NA
1105,174,Lake Sockeye,1967,NA,NA,NA
1168,174,Lake Sockeye,1968,NA,NA,NA
1231,174,Lake Sockeye,1969,NA,NA,NA
1294,174,Lake Sockeye,1970,NA,NA,NA
1357,174,Lake Sockeye,1971,NA,NA,NA
1420,174,Lake Sockeye,1972,NA,NA,NA
1483,174,Lake Sockeye,1973,NA,250,NA
1546,174,Lake Sockeye,1974,NA,NA,NA
1609,174,Lake Sockeye,1975,NA,NA,NA
1672,174,Lake Sockeye,1976,NA,NA,NA
1735,174,Lake Sockeye,1977,NA,NA,NA
1798,174,Lake Sockeye,1978,NA,NA,NA
1861,174,Lake Sockeye,1979,NA,NA,NA
1924,174,Lake Sockeye,1980,NA,NA,NA
1987,174,Lake Sockeye,1981,NA,NA,NA
2050,174,Lake Sockeye,1982,NA,NA,NA
2113,174,Lake Sockeye,1983,NA,NA,NA
2176,174,Lake Sockeye,1984,NA,NA,NA
2239,174,Lake Sockeye,1985,NA,NA,NA
2302,174,Lake Sockeye,1986,NA,75,NA
2365,174,Lake Sockeye,1987,NA,1400,NA
2428,174,Lake Sockeye,1988,NA,500,NA
2491,174,Lake Sockeye,1989,NA,75,NA
2554,174,Lake Sockeye,1990,NA,50,NA
2617,174,Lake Sockeye,1991,NA,NA,NA
2680,174,Lake Sockeye,1992,NA,NA,NA
2743,174,Lake Sockeye,1993,NA,NA,NA
2806,174,Lake Sockeye,1994,NA,1000,NA
2869,174,Lake Sockeye,1995,NA,200,NA
2932,174,Lake Sockeye,1996,NA,150,NA
2995,174,Lake Sockeye,1997,NA,350,NA
3058,174,Lake Sockeye,1998,NA,NA,NA
3121,174,Lake Sockeye,1999,NA,1000,NA
3184,174,Lake Sockeye,2000,NA,NA,NA
3247,174,Lake Sockeye,2001,NA,NA,NA
3310,174,Lake Sockeye,2002,NA,250,NA
3373,174,Lake Sockeye,2003,NA,600,NA
3436,174,Lake Sockeye,2004,NA,NA,NA
3499,174,Lake Sockeye,2005,NA,NA,NA
3562,174,Lake Sockeye,2006,NA,NA,NA
3625,174,Lake Sockeye,2007,NA,NA,NA
3688,174,Lake Sockeye,2008,NA,NA,NA
3751,174,Lake Sockeye,2009,NA,NA,NA
3814,174,Lake Sockeye,2010,NA,NA,NA
3877,174,Lake Sockeye,2011,NA,NA,NA
3940,174,Lake Sockeye,2012,NA,NA,NA
4003,174,Lake Sockeye,2013,NA,NA,NA
4066,174,Lake Sockeye,2014,NA,NA,NA
4129,174,Lake Sockeye,2015,NA,NA,NA
4192,174,Lake Sockeye,2016,NA,NA,NA
4255,174,Lake Sockeye,2017,NA,NA,NA
4318,174,Lake Sockeye,2018,NA,8,NA
4381,174,Lake Sockeye,2019,NA,NA,NA
45,175,Lake Sockeye,1950,NA,2500,NA
108,175,Lake Sockeye,1951,NA,2700,NA
171,175,Lake Sockeye,1952,NA,5000,NA
234,175,Lake Sockeye,1953,NA,500,NA
297,175,Lake Sockeye,1954,NA,500,NA
360,175,Lake Sockeye,1955,NA,25,NA
423,175,Lake Sockeye,1956,NA,5,NA
486,175,Lake Sockeye,1957,NA,NA,NA
549,175,Lake Sockeye,1958,NA,50,NA
612,175,Lake Sockeye,1959,NA,NA,NA
675,175,Lake Sockeye,1960,NA,NA,NA
738,175,Lake Sockeye,1961,NA,NA,NA
801,175,Lake Sockeye,1962,NA,NA,NA
864,175,Lake Sockeye,1963,NA,NA,NA
927,175,Lake Sockeye,1964,NA,NA,NA
990,175,Lake Sockeye,1965,4,2,5
1053,175,Lake Sockeye,1966,50,25,61
1116,175,Lake Sockeye,1967,1500,750,1864
1179,175,Lake Sockeye,1968,1500,750,1813
1242,175,Lake Sockeye,1969,800,400,932
1305,175,Lake Sockeye,1970,7000,3500,8169
1368,175,Lake Sockeye,1971,10000,5000,11836
1431,175,Lake Sockeye,1972,15000,7500,17835
1494,175,Lake Sockeye,1973,6000,3000,7292
1557,175,Lake Sockeye,1974,1500,750,1856
1620,175,Lake Sockeye,1975,2000,1000,2271
1683,175,Lake Sockeye,1976,6000,3000,7161
1746,175,Lake Sockeye,1977,1000,500,1196
1809,175,Lake Sockeye,1978,1000,500,1205
1872,175,Lake Sockeye,1979,NA,NA,NA
1935,175,Lake Sockeye,1980,NA,NA,NA
1998,175,Lake Sockeye,1981,1007,500,1203
2061,175,Lake Sockeye,1982,1007,500,1170
2124,175,Lake Sockeye,1983,NA,NA,NA
2187,175,Lake Sockeye,1984,NA,NA,NA
2250,175,Lake Sockeye,1985,1813,900,2270
2313,175,Lake Sockeye,1986,705,350,834
2376,175,Lake Sockeye,1987,1209,600,1303
2439,175,Lake Sockeye,1988,1410,704,2006
2502,175,Lake Sockeye,1989,604,300,742
2565,175,Lake Sockeye,1990,NA,NA,NA
2628,175,Lake Sockeye,1991,1226,600,1537
2691,175,Lake Sockeye,1992,NA,NA,NA
2754,175,Lake Sockeye,1993,NA,100,NA
2817,175,Lake Sockeye,1994,NA,NA,NA
2880,175,Lake Sockeye,1995,12258,6000,16589
2943,175,Lake Sockeye,1996,NA,NA,NA
3006,175,Lake Sockeye,1997,8172,4000,14018
3069,175,Lake Sockeye,1998,NA,NA,NA
3132,175,Lake Sockeye,1999,16344,8000,19280
3195,175,Lake Sockeye,2000,3000,1500,4032
3258,175,Lake Sockeye,2001,9000,4500,10126
3321,175,Lake Sockeye,2002,4000,2000,4940
3384,175,Lake Sockeye,2003,10100,5050,11334
3447,175,Lake Sockeye,2004,NA,NA,NA
3510,175,Lake Sockeye,2005,NA,NA,NA
3573,175,Lake Sockeye,2006,NA,NA,NA
3636,175,Lake Sockeye,2007,NA,NA,NA
3699,175,Lake Sockeye,2008,NA,NA,NA
3762,175,Lake Sockeye,2009,NA,NA,NA
3825,175,Lake Sockeye,2010,NA,NA,NA
3888,175,Lake Sockeye,2011,NA,NA,NA
3951,175,Lake Sockeye,2012,NA,NA,NA
4014,175,Lake Sockeye,2013,NA,NA,NA
4077,175,Lake Sockeye,2014,NA,NA,NA
4140,175,Lake Sockeye,2015,NA,NA,NA
4203,175,Lake Sockeye,2016,NA,NA,NA
4266,175,Lake Sockeye,2017,NA,NA,NA
4329,175,Lake Sockeye,2018,NA,640,NA
4392,175,Lake Sockeye,2019,NA,NA,NA
46,176,Lake Sockeye,1950,NA,3200,NA
109,176,Lake Sockeye,1951,NA,4200,NA
172,176,Lake Sockeye,1952,NA,4900,NA
235,176,Lake Sockeye,1953,NA,3200,NA
298,176,Lake Sockeye,1954,NA,5275,NA
361,176,Lake Sockeye,1955,NA,2450,NA
424,176,Lake Sockeye,1956,NA,12575,NA
487,176,Lake Sockeye,1957,NA,4475,NA
550,176,Lake Sockeye,1958,NA,5450,NA
613,176,Lake Sockeye,1959,NA,2850,NA
676,176,Lake Sockeye,1960,924,1225,1650
739,176,Lake Sockeye,1961,2464,1750,4217
802,176,Lake Sockeye,1962,2464,2100,4516
865,176,Lake Sockeye,1963,2226,3425,3086
928,176,Lake Sockeye,1964,1669,5300,2978
991,176,Lake Sockeye,1965,3285,3450,5242
1054,176,Lake Sockeye,1966,1745,2700,3620
1117,176,Lake Sockeye,1967,3182,2300,7376
1180,176,Lake Sockeye,1968,1951,2725,3926
1243,176,Lake Sockeye,1969,2464,2375,4200
1306,176,Lake Sockeye,1970,1951,3550,3343
1369,176,Lake Sockeye,1971,2464,3600,4493
1432,176,Lake Sockeye,1972,6981,4025,12996
1495,176,Lake Sockeye,1973,6981,4000,14419
1558,176,Lake Sockeye,1974,6981,3250,15824
1621,176,Lake Sockeye,1975,3901,2300,5982
1684,176,Lake Sockeye,1976,1951,1475,3693
1747,176,Lake Sockeye,1977,6981,3250,13347
1810,176,Lake Sockeye,1978,1951,1100,3871
1873,176,Lake Sockeye,1979,862,560,1606
1936,176,Lake Sockeye,1980,924,650,1808
1999,176,Lake Sockeye,1981,719,475,1364
2062,176,Lake Sockeye,1982,1129,1525,2566
2125,176,Lake Sockeye,1983,903,1020,1441
2188,176,Lake Sockeye,1984,1169,725,1984
2251,176,Lake Sockeye,1985,2339,4850,4553
2314,176,Lake Sockeye,1986,2339,2600,4125
2377,176,Lake Sockeye,1987,4678,1200,6678
2440,176,Lake Sockeye,1988,2807,600,6251
2503,176,Lake Sockeye,1989,4210,1000,7548
2566,176,Lake Sockeye,1990,7017,1700,14342
2629,176,Lake Sockeye,1991,7017,1800,15025
2692,176,Lake Sockeye,1992,18712,4250,44670
2755,176,Lake Sockeye,1993,16373,3700,35377
2818,176,Lake Sockeye,1994,25729,5500,48721
2881,176,Lake Sockeye,1995,22805,4875,51580
2944,176,Lake Sockeye,1996,8888,1900,22918
3007,176,Lake Sockeye,1997,17074,3650,44943
3070,176,Lake Sockeye,1998,18244,4900,26107
3133,176,Lake Sockeye,1999,NA,NA,NA
3196,176,Lake Sockeye,2000,20696,5040,39847
3259,176,Lake Sockeye,2001,12356,3009,20862
3322,176,Lake Sockeye,2002,16499,4018,28595
3385,176,Lake Sockeye,2003,42295,10300,58621
3448,176,Lake Sockeye,2004,20815,5069,28867
3511,176,Lake Sockeye,2005,13321,3244,16269
3574,176,Lake Sockeye,2006,14187,3455,21785
3637,176,Lake Sockeye,2007,18561,4520,28357
3700,176,Lake Sockeye,2008,22872,5570,32753
3763,176,Lake Sockeye,2009,29089,7084,32841
3826,176,Lake Sockeye,2010,45445,11067,52628
3889,176,Lake Sockeye,2011,27800,6770,36968
3952,176,Lake Sockeye,2012,45063,10974,58562
4015,176,Lake Sockeye,2013,NA,NA,NA
4078,176,Lake Sockeye,2014,29375,7000,39568
4141,176,Lake Sockeye,2015,25359,6043,29869
4204,176,Lake Sockeye,2016,24616,5866,33065
4267,176,Lake Sockeye,2017,29858,7115,31900
4330,176,Lake Sockeye,2018,NA,10050,NA
4393,176,Lake Sockeye,2019,NA,NA,NA
47,177,Lake Sockeye,1950,NA,2200,NA
110,177,Lake Sockeye,1951,NA,5700,NA
173,177,Lake Sockeye,1952,NA,13140,NA
236,177,Lake Sockeye,1953,NA,9250,NA
299,177,Lake Sockeye,1954,NA,8250,NA
362,177,Lake Sockeye,1955,NA,3700,NA
425,177,Lake Sockeye,1956,NA,3575,NA
488,177,Lake Sockeye,1957,NA,7700,NA
551,177,Lake Sockeye,1958,NA,8250,NA
614,177,Lake Sockeye,1959,NA,8250,NA
677,177,Lake Sockeye,1960,11352,4500,13620
740,177,Lake Sockeye,1961,14884,5900,17663
803,177,Lake Sockeye,1962,17339,7925,20939
866,177,Lake Sockeye,1963,19929,7900,22280
929,177,Lake Sockeye,1964,52440,20991,62899
992,177,Lake Sockeye,1965,87795,40528,102238
1055,177,Lake Sockeye,1966,39887,18431,49607
1118,177,Lake Sockeye,1967,29451,13711,37523
1181,177,Lake Sockeye,1968,24942,11825,30806
1244,177,Lake Sockeye,1969,14221,6600,16858
1307,177,Lake Sockeye,1970,11377,5300,13505
1370,177,Lake Sockeye,1971,6564,3050,7916
1433,177,Lake Sockeye,1972,5798,2700,7029
1496,177,Lake Sockeye,1973,3938,1850,4893
1559,177,Lake Sockeye,1974,5251,2450,6659
1622,177,Lake Sockeye,1975,5688,2700,6551
1685,177,Lake Sockeye,1976,6564,3050,7990
1748,177,Lake Sockeye,1977,5087,2375,6207
1811,177,Lake Sockeye,1978,11814,5450,14545
1874,177,Lake Sockeye,1979,12471,5760,15120
1937,177,Lake Sockeye,1980,29449,13767,36136
2000,177,Lake Sockeye,1981,15971,7555,19454
2063,177,Lake Sockeye,1982,30120,17507,35907
2126,177,Lake Sockeye,1983,19253,9335,20773
2189,177,Lake Sockeye,1984,9517,4660,10905
2252,177,Lake Sockeye,1985,36319,16785,45932
2315,177,Lake Sockeye,1986,8970,4400,10858
2378,177,Lake Sockeye,1987,5306,2550,5812
2441,177,Lake Sockeye,1988,10447,5050,15104
2504,177,Lake Sockeye,1989,7679,3720,9662
2567,177,Lake Sockeye,1990,2691,1380,3556
2630,177,Lake Sockeye,1991,13455,6350,17007
2693,177,Lake Sockeye,1992,10392,4990,16413
2756,177,Lake Sockeye,1993,13674,6400,20142
2819,177,Lake Sockeye,1994,3118,1629,4075
2882,177,Lake Sockeye,1995,27458,12550,37989
2945,177,Lake Sockeye,1996,23684,10825,34562
3008,177,Lake Sockeye,1997,3446,1575,6077
3071,177,Lake Sockeye,1998,5378,1075,6423
3134,177,Lake Sockeye,1999,NA,NA,NA
3197,177,Lake Sockeye,2000,NA,NA,NA
3260,177,Lake Sockeye,2001,10336,500,11742
3323,177,Lake Sockeye,2002,NA,NA,NA
3386,177,Lake Sockeye,2003,NA,NA,NA
3449,177,Lake Sockeye,2004,5910,2000,6820
3512,177,Lake Sockeye,2005,6268,2865,7035
3575,177,Lake Sockeye,2006,3548,1450,4335
3638,177,Lake Sockeye,2007,6585,3010,7274
3701,177,Lake Sockeye,2008,5481,2541,5873
3764,177,Lake Sockeye,2009,7531,3486,8113
3827,177,Lake Sockeye,2010,16035,5837,17550
3890,177,Lake Sockeye,2011,34785,16052,38204
3953,177,Lake Sockeye,2012,27604,12798,30279
4016,177,Lake Sockeye,2013,27295,9060,28219
4079,177,Lake Sockeye,2014,24370,8880,26439
4142,177,Lake Sockeye,2015,4685,440,4944
4205,177,Lake Sockeye,2016,15931,6768,17542
4268,177,Lake Sockeye,2017,7754,250,7842
4331,177,Lake Sockeye,2018,NA,12159,NA
4394,177,Lake Sockeye,2019,NA,6864,NA
48,178,Lake Sockeye,1950,NA,4500,NA
111,178,Lake Sockeye,1951,NA,4000,NA
174,178,Lake Sockeye,1952,NA,3500,NA
237,178,Lake Sockeye,1953,NA,5000,NA
300,178,Lake Sockeye,1954,NA,1000,NA
363,178,Lake Sockeye,1955,NA,1000,NA
426,178,Lake Sockeye,1956,NA,750,NA
489,178,Lake Sockeye,1957,NA,3500,NA
552,178,Lake Sockeye,1958,NA,1500,NA
615,178,Lake Sockeye,1959,NA,750,NA
678,178,Lake Sockeye,1960,1500,750,1905
741,178,Lake Sockeye,1961,1500,750,1877
804,178,Lake Sockeye,1962,1000,500,1281
867,178,Lake Sockeye,1963,1600,800,1849
930,178,Lake Sockeye,1964,1000,500,1269
993,178,Lake Sockeye,1965,6000,3000,7319
1056,178,Lake Sockeye,1966,8000,4000,10667
1119,178,Lake Sockeye,1967,400,200,551
1182,178,Lake Sockeye,1968,5000,2500,6604
1245,178,Lake Sockeye,1969,1944,972,2429
1308,178,Lake Sockeye,1970,3000,1500,3755
1371,178,Lake Sockeye,1971,2600,1300,3325
1434,178,Lake Sockeye,1972,1200,600,1545
1497,178,Lake Sockeye,1973,4000,2000,5327
1560,178,Lake Sockeye,1974,3600,1800,4930
1623,178,Lake Sockeye,1975,200,100,240
1686,178,Lake Sockeye,1976,NA,NA,NA
1749,178,Lake Sockeye,1977,1200,600,1559
1812,178,Lake Sockeye,1978,8000,4000,10520
1875,178,Lake Sockeye,1979,2200,1100,2834
1938,178,Lake Sockeye,1980,280,140,367
2001,178,Lake Sockeye,1981,3000,1500,3888
2064,178,Lake Sockeye,1982,2000,1000,2465
2127,178,Lake Sockeye,1983,10000,5000,10940
2190,178,Lake Sockeye,1984,1000,500,1145
2253,178,Lake Sockeye,1985,1200,600,1792
2316,178,Lake Sockeye,1986,6000,3000,7686
2379,178,Lake Sockeye,1987,6000,3000,6786
2442,178,Lake Sockeye,1988,4000,2000,6411
2505,178,Lake Sockeye,1989,NA,NA,NA
2568,178,Lake Sockeye,1990,3000,1500,4170
2631,178,Lake Sockeye,1991,1200,600,1659
2694,178,Lake Sockeye,1992,10000,5000,17629
2757,178,Lake Sockeye,1993,15000,7500,25167
2820,178,Lake Sockeye,1994,NA,NA,NA
2883,178,Lake Sockeye,1995,NA,NA,NA
2946,178,Lake Sockeye,1996,NA,NA,NA
3009,178,Lake Sockeye,1997,NA,NA,NA
3072,178,Lake Sockeye,1998,NA,NA,NA
3135,178,Lake Sockeye,1999,NA,NA,NA
3198,178,Lake Sockeye,2000,NA,NA,NA
3261,178,Lake Sockeye,2001,NA,NA,NA
3324,178,Lake Sockeye,2002,7072,3536,9434
