,CUID,Species,Year,LGL counts,NuSEDS counts by CU,Total run
44,171,Lake Sockeye,1950,NA,13000,NA
107,171,Lake Sockeye,1951,NA,13500,NA
170,171,Lake Sockeye,1952,NA,18000,NA
233,171,Lake Sockeye,1953,NA,16000,NA
296,171,Lake Sockeye,1954,NA,20000,NA
359,171,Lake Sockeye,1955,NA,19250,NA
422,171,Lake Sockeye,1956,NA,26000,NA
485,171,Lake Sockeye,1957,NA,42900,NA
548,171,Lake Sockeye,1958,NA,44000,NA
611,171,Lake Sockeye,1959,NA,22500,NA
674,171,Lake Sockeye,1960,7851,3900,10971
737,171,Lake Sockeye,1961,29720,14250,40643
800,171,Lake Sockeye,1962,22307,10395,31582
863,171,Lake Sockeye,1963,20187,9000,24626
926,171,Lake Sockeye,1964,4262,2350,5952
989,171,Lake Sockeye,1965,17720,7900,23356
1052,171,Lake Sockeye,1966,18841,8400,28320
1115,171,Lake Sockeye,1967,28038,12500,44325
1178,171,Lake Sockeye,1968,33645,15000,49858
1241,171,Lake Sockeye,1969,6729,3000,9182
1304,171,Lake Sockeye,1970,5047,2250,6906
1367,171,Lake Sockeye,1971,2579,1150,3643
1430,171,Lake Sockeye,1972,8972,4000,12802
1493,171,Lake Sockeye,1973,8972,4000,13460
1556,171,Lake Sockeye,1974,3925,1750,6145
1619,171,Lake Sockeye,1975,1346,600,1736
1682,171,Lake Sockeye,1976,6729,3000,9682
1745,171,Lake Sockeye,1977,15701,7000,22698
1808,171,Lake Sockeye,1978,20187,9000,29715
1871,171,Lake Sockeye,1979,20187,9000,28810
1934,171,Lake Sockeye,1980,33645,15000,49197
1997,171,Lake Sockeye,1981,2019,900,2908
2060,171,Lake Sockeye,1982,10654,4750,16773
2123,171,Lake Sockeye,1983,14580,6500,17957
2186,171,Lake Sockeye,1984,8972,4000,12294
2249,171,Lake Sockeye,1985,8972,4000,13081
2312,171,Lake Sockeye,1986,23552,10500,32608
2375,171,Lake Sockeye,1987,11215,5000,13532
2438,171,Lake Sockeye,1988,14580,6500,24915
2501,171,Lake Sockeye,1989,16747,5500,23827
2564,171,Lake Sockeye,1990,11215,5000,17401
2627,171,Lake Sockeye,1991,24673,11000,37909
2690,171,Lake Sockeye,1992,17944,8000,33147
2753,171,Lake Sockeye,1993,16823,7500,28429
2816,171,Lake Sockeye,1994,14580,6500,21724
2879,171,Lake Sockeye,1995,19066,8500,31649
2942,171,Lake Sockeye,1996,28038,12500,51579
3005,171,Lake Sockeye,1997,26916,12000,55754
3068,171,Lake Sockeye,1998,12337,5500,15492
3131,171,Lake Sockeye,1999,2243,1000,2667
3194,171,Lake Sockeye,2000,6953,3100,11136
3257,171,Lake Sockeye,2001,12112,5400,15737
3320,171,Lake Sockeye,2002,4486,2000,6625
3383,171,Lake Sockeye,2003,30281,13500,37164
3446,171,Lake Sockeye,2004,NA,NA,NA
3509,171,Lake Sockeye,2005,13734,4700,15468
3572,171,Lake Sockeye,2006,5383,2400,7022
3635,171,Lake Sockeye,2007,24673,11000,30017
3698,171,Lake Sockeye,2008,1169,400,1414
3761,171,Lake Sockeye,2009,24112,10750,25866
3824,171,Lake Sockeye,2010,37795,16850,41467
3887,171,Lake Sockeye,2011,23327,10400,27207
3950,171,Lake Sockeye,2012,36785,16400,43597
4013,171,Lake Sockeye,2013,19963,8900,20696
4076,171,Lake Sockeye,2014,6370,2840,7452
4139,171,Lake Sockeye,2015,18841,8400,20179
4202,171,Lake Sockeye,2016,27230,12140,31168
4265,171,Lake Sockeye,2017,5608,2500,5727
4328,171,Lake Sockeye,2018,NA,1400,NA
4391,171,Lake Sockeye,2019,NA,1640,NA
27,172,Lake Sockeye,1950,NA,NA,NA
90,172,Lake Sockeye,1951,NA,NA,NA
153,172,Lake Sockeye,1952,NA,NA,NA
216,172,Lake Sockeye,1953,NA,NA,NA
279,172,Lake Sockeye,1954,NA,NA,NA
342,172,Lake Sockeye,1955,NA,NA,NA
405,172,Lake Sockeye,1956,NA,NA,NA
468,172,Lake Sockeye,1957,NA,NA,NA
531,172,Lake Sockeye,1958,NA,NA,NA
594,172,Lake Sockeye,1959,NA,NA,NA
657,172,Lake Sockeye,1960,NA,NA,NA
720,172,Lake Sockeye,1961,NA,NA,NA
783,172,Lake Sockeye,1962,NA,NA,NA
846,172,Lake Sockeye,1963,NA,NA,NA
909,172,Lake Sockeye,1964,NA,NA,NA
972,172,Lake Sockeye,1965,NA,NA,NA
1035,172,Lake Sockeye,1966,NA,NA,NA
1098,172,Lake Sockeye,1967,NA,NA,NA
1161,172,Lake Sockeye,1968,NA,NA,NA
1224,172,Lake Sockeye,1969,NA,NA,NA
1287,172,Lake Sockeye,1970,NA,NA,NA
1350,172,Lake Sockeye,1971,NA,NA,NA
1413,172,Lake Sockeye,1972,NA,NA,NA
1476,172,Lake Sockeye,1973,NA,NA,NA
1539,172,Lake Sockeye,1974,NA,NA,NA
1602,172,Lake Sockeye,1975,NA,NA,NA
1665,172,Lake Sockeye,1976,NA,NA,NA
1728,172,Lake Sockeye,1977,NA,NA,NA
1791,172,Lake Sockeye,1978,NA,NA,NA
1854,172,Lake Sockeye,1979,NA,NA,NA
1917,172,Lake Sockeye,1980,NA,NA,NA
1980,172,Lake Sockeye,1981,NA,NA,NA
2043,172,Lake Sockeye,1982,NA,NA,NA
2106,172,Lake Sockeye,1983,NA,NA,NA
2169,172,Lake Sockeye,1984,NA,NA,NA
2232,172,Lake Sockeye,1985,NA,NA,NA
2295,172,Lake Sockeye,1986,NA,NA,NA
2358,172,Lake Sockeye,1987,NA,NA,NA
2421,172,Lake Sockeye,1988,NA,NA,NA
2484,172,Lake Sockeye,1989,NA,NA,NA
2547,172,Lake Sockeye,1990,NA,NA,NA
2610,172,Lake Sockeye,1991,NA,NA,NA
2673,172,Lake Sockeye,1992,NA,NA,NA
2736,172,Lake Sockeye,1993,NA,NA,NA
2799,172,Lake Sockeye,1994,NA,NA,NA
2862,172,Lake Sockeye,1995,NA,NA,NA
2925,172,Lake Sockeye,1996,NA,NA,NA
2988,172,Lake Sockeye,1997,NA,NA,NA
3051,172,Lake Sockeye,1998,NA,NA,NA
3114,172,Lake Sockeye,1999,NA,NA,NA
3177,172,Lake Sockeye,2000,NA,NA,NA
3240,172,Lake Sockeye,2001,NA,NA,NA
3303,172,Lake Sockeye,2002,NA,NA,NA
3366,172,Lake Sockeye,2003,NA,NA,NA
3429,172,Lake Sockeye,2004,NA,NA,NA
3492,172,Lake Sockeye,2005,NA,NA,NA
3555,172,Lake Sockeye,2006,NA,NA,NA
3618,172,Lake Sockeye,2007,NA,NA,NA
3681,172,Lake Sockeye,2008,NA,NA,NA
3744,172,Lake Sockeye,2009,NA,NA,NA
3807,172,Lake Sockeye,2010,NA,NA,NA
3870,172,Lake Sockeye,2011,NA,NA,NA
3933,172,Lake Sockeye,2012,NA,NA,NA
3996,172,Lake Sockeye,2013,NA,NA,NA
4059,172,Lake Sockeye,2014,NA,NA,NA
4122,172,Lake Sockeye,2015,NA,NA,NA
4185,172,Lake Sockeye,2016,NA,NA,NA
4248,172,Lake Sockeye,2017,NA,NA,NA
4311,172,Lake Sockeye,2018,NA,NA,NA
4374,172,Lake Sockeye,2019,NA,NA,NA
28,173,Lake Sockeye,1950,NA,NA,NA
91,173,Lake Sockeye,1951,NA,NA,NA
154,173,Lake Sockeye,1952,NA,NA,NA
217,173,Lake Sockeye,1953,NA,NA,NA
280,173,Lake Sockeye,1954,NA,NA,NA
343,173,Lake Sockeye,1955,NA,NA,NA
406,173,Lake Sockeye,1956,NA,NA,NA
469,173,Lake Sockeye,1957,NA,NA,NA
532,173,Lake Sockeye,1958,NA,NA,NA
595,173,Lake Sockeye,1959,NA,NA,NA
658,173,Lake Sockeye,1960,NA,NA,NA
721,173,Lake Sockeye,1961,NA,NA,NA
784,173,Lake Sockeye,1962,NA,NA,NA
847,173,Lake Sockeye,1963,NA,NA,NA
910,173,Lake Sockeye,1964,NA,NA,NA
973,173,Lake Sockeye,1965,NA,NA,NA
1036,173,Lake Sockeye,1966,NA,NA,NA
1099,173,Lake Sockeye,1967,NA,NA,NA
1162,173,Lake Sockeye,1968,NA,NA,NA
1225,173,Lake Sockeye,1969,NA,NA,NA
1288,173,Lake Sockeye,1970,NA,NA,NA
1351,173,Lake Sockeye,1971,NA,NA,NA
1414,173,Lake Sockeye,1972,NA,NA,NA
1477,173,Lake Sockeye,1973,NA,NA,NA
